slug,name,country,region,piste_km,apres_score,crowd_score,infra_score,hut_score,park_score,beginner_score,advanced_score,lat,lon,image_url,openskimap_url,skimap_url,piste_map_url,official_url,skipass_url,piste_km_total,piste_km_easy,piste_km_intermediate,piste_km_advanced,runs_count_total,lifts_count_total,elevation_min_m,elevation_max_m,vertical_m,wikipedia_url,notes,source,last_checked
isny-felderhalde,Isny / Felderhalde,Germany,Baden-Württemberg,1.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,47.68439162222223,10.032187844444444,,https://openskimap.org/?obj=487f9f62dd29db7fe72ec73dc057fa1b8179bcb2,,,,,1.3,1.3,,,3,3,717.1,771.3,54.8,,,openskistats.org + api.openskimap.org,2026-01-28
iso-syote,Iso-Syote,Finland,Northern Ostrobothnia,7.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,65.62546268015437,27.60642841458321,,https://openskimap.org/?obj=dcae91f424b90f75646672dd097afd02639100b3,https://skimap.org/skiareas/view/14292,https://skimap.org/skiareas/view/14292,,,7.3,3.1,2.8,1.4,16,8,234,425,191,,,openskistats.org + api.openskimap.org,2026-01-28
isola-2000,Isola 2000,France,Alpes-Maritimes,54.9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,44.183294093668955,7.148599584314165,,https://openskimap.org/?obj=6a9f3afdd5d590a14770fdb7a8e90c6285b18035,https://skimap.org/skiareas/view/698,https://skimap.org/skiareas/view/698,https://www.isola2000.com/,,54.9,33.8,15.3,5.8,65,20,1827.4,2600.5,777.4,,,openskistats.org + api.openskimap.org,2026-01-28
izvorul-minunilor,Izvorul Minunilor,Romania,Bihor,2.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.685836074542955,22.617759704589844,,https://openskimap.org/?obj=7d94dbb580b0ee38a48d6be70af1304a81be4d66,https://skimap.org/skiareas/view/18469,https://skimap.org/skiareas/view/18469,,,2.2,0.5,1.5,,3,2,1087,1364.5,279,,,openskistats.org + api.openskimap.org,2026-01-28
jonas-park-ostruzna,JONAS Park Ostružná,Czechia,Olomouc,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,50.187953773076934,17.04213022692307,,https://openskimap.org/?obj=256d33b9734dbcfc632a10130a7545776def6e95,,,,,2,,2,,6,4,735.5,816.2,87.2,,,openskistats.org + api.openskimap.org,2026-01-28
jahodna,Jahodná,Slovakia,Kosice,2.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,48.767243637037055,21.128856814814814,,https://openskimap.org/?obj=a0d69edf18ccf67853913884e0948ec4fcf1684b,https://skimap.org/skiareas/view/14050,https://skimap.org/skiareas/view/14050,https://jahodna.sk/lyzovanie/,,2.1,0.4,1.7,,8,6,565.2,702.8,137.6,,,openskistats.org + api.openskimap.org,2026-01-28
jahorina-olimpijski-centar-olympic-center-jahorina,"Jahorina olimpijski centar, Olympic Center Jahorina, Јахорина олимпијски центар",Bosnia and Herzegovina,Republic of Srpska,34.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,43.72627778834627,18.569573651331876,,https://openskimap.org/?obj=516bab490035b2ec5b8cf843a4c2929e4028642d,https://skimap.org/skiareas/view/1813,https://skimap.org/skiareas/view/1813,https://www.oc-jahorina.com/,,34.8,18,14.4,2.4,103,23,1309.2,1887.3,589.9,,,openskistats.org + api.openskimap.org,2026-01-28
jakobshorn,Jakobshorn,Switzerland,Graubunden,35.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.7812552214215,9.83496681911717,,https://openskimap.org/?obj=c880b001fe8a065af66fca1a93ea7ce3d62e546a,https://skimap.org/skiareas/view/1009,https://skimap.org/skiareas/view/1009,https://www.davosklosters.ch/,,35.5,20.7,5.6,9.1,55,13,1531.3,2563.5,1032.2,,,openskistats.org + api.openskimap.org,2026-01-28
janske-lazne-cerna-hora,Janské Lázně - Černá hora,Czechia,Hradec Králové,17.9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,50.64347943844339,15.761424871462289,,https://openskimap.org/?obj=29f3c8064a8a521656127c68e52b3b7ec31e5f9a,https://skimap.org/skiareas/view/14163,https://skimap.org/skiareas/view/14163,https://skiresort.cz/,,17.9,7.9,9.3,0.7,39,16,629.4,1263.5,650.3,,,openskistats.org + api.openskimap.org,2026-01-28
jasenska-dolina,Jasenská dolina,Slovakia,Zilina,4.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,49.01082056260915,19.01160054334353,,https://openskimap.org/?obj=422146d2471a1e38a324c5843349acf7c9c553af,https://skimap.org/skiareas/view/14246,https://skimap.org/skiareas/view/14246,,,4.1,1.5,2.1,,14,5,541.8,744.4,202.6,,,openskistats.org + api.openskimap.org,2026-01-28
jasna-low-tatras,Jasna Low Tatras,Slovakia,Banska Bystrica,45.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,48.948787168888884,19.589239116111116,,https://openskimap.org/?obj=143a22b6dca9119510a125afff37672952de837e,https://skimap.org/skiareas/view/1955,https://skimap.org/skiareas/view/1955,https://www.jasna.sk/,,45.6,26.5,14.5,4.6,155,27,943,2003.5,1062.8,,,openskistats.org + api.openskimap.org,2026-01-28
jaun-gastlosen-bergbahnen,Jaun-Gastlosen Bergbahnen,Switzerland,Fribourg,12.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.60222328509318,7.2872530389233905,,https://openskimap.org/?obj=4e5142c99424c78912f24890c8a3b827ade3c82b,https://skimap.org/skiareas/view/4186,https://skimap.org/skiareas/view/4186,https://www.jaun.ch/,,12.8,7.3,5.1,0.4,25,4,1020.8,1569.7,549.1,,,openskistats.org + api.openskimap.org,2026-01-28
jaunpass,Jaunpass,Switzerland,Bern,4.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.59663521403509,7.341810696491225,,https://openskimap.org/?obj=37c497392c43bcd2ddd57b50c81eac60ee83385e,https://skimap.org/skiareas/view/4187,https://skimap.org/skiareas/view/4187,https://www.sportbahnen-jaunpass.ch/,,4.7,3,0.8,0.8,9,2,1404.9,1605.9,203.2,,,openskistats.org + api.openskimap.org,2026-01-28
javalambre,Javalambre,Spain,Teruel,8.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,40.1092206772973,-1.0253823897297296,,https://openskimap.org/?obj=f208da1c140e4bdaba348f998b835c51fd028e1c,https://skimap.org/skiareas/view/1994,https://skimap.org/skiareas/view/1994,http://www.javalambre.com,,8.4,7.4,1,,18,9,1673.1,2003.8,330.7,,,openskistats.org + api.openskimap.org,2026-01-28
